organization,program,program_type,source,status_note,date_note,funding_range,max_amount,website,apply_url,industry_category,sector_tags,description,review_required,review_notes
1kx,1kx Investment,vc_fund,excel_vc,active=Yes,,,,https://1kx.network/,,EU,,Active Web3 VC; region=EU; tier=3,no,
20VC,20VC Investment,vc_fund,excel_vc,active=Yes,,,,https://www.20vc.com,,US,,Active Web3 VC; region=US; tier=2,no,
7X Ventures,7X Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://www.7xvc.com,,Asia,,Active Web3 VC; region=Asia; tier=3,no,
90s,90s Investment,vc_fund,excel_vc,active=Yes,,,,https://90s.community/,,Asia,,Active Web3 VC; region=Asia; tier=3,no,
a_capital,a_capital Investment,vc_fund,excel_vc,active=Yes,,,,https://acapital.com/,,US,,Active Web3 VC; region=US; tier=2,no,
Aglaé Ventures,Aglaé Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://aglaeventures.com,,EU,,Active Web3 VC; region=EU; tier=2,no,
Altos Ventures,Altos Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://www.altos.vc,,US,,Active Web3 VC; region=US; tier=1,no,
Amber Group,Amber Group Investment,vc_fund,excel_vc,active=Yes,,,,https://www.ambergroup.io,,Asia,,Active Web3 VC; region=Asia; tier=1,no,
Animoca Brands,Animoca Brands Investment,vc_fund,excel_vc,active=Yes,,,,https://www.animocabrands.com,,Asia,,Active Web3 VC; region=Asia; tier=1,no,
Arcanum Capital,Arcanum Capital Investment,vc_fund,excel_vc,active=Yes,,,,https://arcanum.capital,,US,,Active Web3 VC; region=US; tier=3,no,
Arche Fund,Arche Fund Investment,vc_fund,excel_vc,active=Yes,,,,https://www.archefund.xyz,,Asia,,Active Web3 VC; region=Asia; tier=3,no,
Ascension,Ascension Investment,vc_fund,excel_vc,active=Yes,,,,https://www.linkedin.com/company/ascensionvc/?originalSubdomain=uk,,UK,,Active Web3 VC; region=UK; tier=3,no,
Atka,Atka Investment,vc_fund,excel_vc,active=Yes,,,,https://atka.io/,,EU,,Active Web3 VC; region=EU; tier=3,no,
Axia8 Ventures,Axia8 Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://axia8.com,,Asia,,Active Web3 VC; region=Asia; tier=3,no,
Baselayer Capital,Baselayer Capital Investment,vc_fund,excel_vc,active=Yes,,,,https://baselayer.vc/,,US,,Active Web3 VC; region=US; tier=3,no,
Becker Ventures,Becker Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://www.beckerventures.com,,Asia,,Active Web3 VC; region=Asia; tier=3,no,
Big Brain Holdings,Big Brain Holdings Investment,vc_fund,excel_vc,active=Yes,,,,https://www.bigbrain.holdings,,US,,Active Web3 VC; region=US; tier=2,no,
Bitkraft Ventures,Bitkraft Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://www.bitkraft.vc,,US,,Active Web3 VC; region=US; tier=2,no,
Bitrise Capital,Bitrise Capital Investment,vc_fund,excel_vc,active=Yes,,,,https://www.bitrise.capital,,Asia,,Active Web3 VC; region=Asia; tier=3,no,
Bitscale Capital,Bitscale Capital Investment,vc_fund,excel_vc,active=Yes,,,,https://bitscale.capital,,EU,,Active Web3 VC; region=EU; tier=2,no,
Blockchain Capital,Blockchain Capital Investment,vc_fund,excel_vc,active=Yes,,,,https://blockchain.capital,,US,,Active Web3 VC; region=US; tier=1,no,
Borderless Capital,Borderless Capital Investment,vc_fund,excel_vc,active=Yes,,,,https://www.borderlesscapital.io/,,US,,Active Web3 VC; region=US; tier=2,no,
Castle Island Ventures,Castle Island Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://castleisland.vc/,,US,,Active Web3 VC; region=US; tier=2,no,
Ceras Ventures,Ceras Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://cerasvc.com,,Asia,,Active Web3 VC; region=Asia; tier=3,no,
Clairvoyant Labs,Clairvoyant Labs Investment,vc_fund,excel_vc,active=Yes,,,,https://clairvoyantlabs.vc/,,Asia,,Active Web3 VC; region=Asia; tier=3,no,
CMS Holdings,CMS Holdings Investment,vc_fund,excel_vc,active=Yes,,,,https://cmsholdings.io,,US,,Active Web3 VC; region=US; tier=3,no,
CMT Digital,CMT Digital Investment,vc_fund,excel_vc,active=Yes,,,,https://www.cmtdigital.com,,US,,Active Web3 VC; region=US; tier=3,no,
CoinFund,CoinFund Investment,vc_fund,excel_vc,active=Yes,,,,https://www.coinfund.io,,US,,Active Web3 VC; region=US; tier=2,no,
Curved Ventures,Curved Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://curved.ventures/,,US,,Active Web3 VC; region=US; tier=3,no,
Cypher Capital,Cypher Capital Investment,vc_fund,excel_vc,active=Yes,,,,https://www.cyphercapital.com,,UAE,,Active Web3 VC; region=UAE; tier=3,no,
DACM (Digital Asset Cap. Mgmt.),DACM (Digital Asset Cap. Mgmt.) Investment,vc_fund,excel_vc,active=Yes,,,,https://www.dacm.io,,UK,,Active Web3 VC; region=UK; tier=3,no,
Daedalus,Daedalus Investment,vc_fund,excel_vc,active=Yes,,,,https://www.daedalus.gg/manifesto,,EU,,Active Web3 VC; region=EU; tier=3,no,
Dead King Society,Dead King Society Investment,vc_fund,excel_vc,active=Yes,,,,https://www.deadkingsociety.io/,,UAE,,Active Web3 VC; region=UAE; tier=3,no,
Decubate Ventures,Decubate Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://www.decubate.com/,,EU,,Active Web3 VC; region=EU; tier=3,no,
Dragonfly Capital,Dragonfly Capital Investment,vc_fund,excel_vc,active=Yes,,,,https://www.dragonfly.xyz,,US,,Active Web3 VC; region=US; tier=1,no,
Draper Associates,Draper Associates Investment,vc_fund,excel_vc,active=Yes,,,,https://www.draper.vc/,,US,,Active Web3 VC; region=US; tier=2,no,
DWF Labs,DWF Labs Investment,vc_fund,excel_vc,active=Yes,,,,https://www.dwf-labs.com,,Asia,,Active Web3 VC; region=Asia; tier=1,no,
Ethereal Ventures,Ethereal Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://www.etherealventures.com,,US,,Active Web3 VC; region=US; tier=3,no,
Faction VC,Faction VC Investment,vc_fund,excel_vc,active=Yes,,,,https://www.faction.vc,,US,,Active Web3 VC; region=US; tier=2,no,
Foresight Ventures,Foresight Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://foresightventures.com,,Asia,,Active Web3 VC; region=Asia; tier=2,no,
"Founders, Inc.","Founders, Inc. Investment",vc_fund,excel_vc,active=Yes,,,,https://www.f.inc,,US,,Active Web3 VC; region=US; tier=3,no,
Framework Ventures,Framework Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://www.framework.ventures,,US,,Active Web3 VC; region=US; tier=1,no,
FunFair Ventures,FunFair Ventures Investment,vc_fund,excel_vc,active=Yes,,,,https://www.funfair.ventures,,UK,,Active Web3 VC; region=UK; tier=3,no,
Galaxy Digital,Galaxy Digital Investment,vc_fund,excel_vc,active=Yes,,,,https://www.galaxy.com,,US,,Active Web3 VC; region=US; tier=1,no,
General Catalyst,General Catalyst Investment,vc_fund,excel_vc,active=Yes,,,,https://generalcatalyst.com,,US,,Active Web3 VC; region=US; tier=1,no,
